COD_ENT_ORIG,COD_CENTRO_ORIG,DSC_CENTRO_OFIC,tcmofcur,tcdofici,tccpoofi,tccpais,tccloca1,tccidiom,tccofcap,tccplaza,tccofext,tccofdec,tccreal1,tccreal2,tccreal3,tctofici,tctofope,tctreofi,tctpfofi,tctclas1,tctclas2,tctclas3,tctclas4,tcyacamb,tcyofbai,tcycdpou,tctstmne,tcygemba,tctindi1,tctindi2,tctindi3,tctindi4,tccprtel,tcntelex,tcnfax,tcntele1,tcntele2,tcqmetre,tcqmearx,tcqterm,tcqcaixe,tcqdisp,tcqmagn1,tcqmagn2,tcqmagn3,tcibimex,tcidvmex,tciefmax,tcienca1,tcienca2,tcienca3,tcccambr,tccdehis,tcccodi1,tcccodi2,tccemfa1,tcffifa1,tccemfa2,tcffifa2,tccemfa3,tcffifa3,tccemfa4,tcffifa4,tccemfa5,tcffifa5,tccemfa6,tcffifa6,tcfobofi,tcfbxofi,tcfalofi,tcfdata1,tcinicen,ultmod,banculmo,oficulmo,numter,usultmod,tccomuna,FCH_ULT_ACT_OPER,data_timestamp_part,COD_ENT,COD_CENTRO
1,5121,CUENTAS POR PAGAR                       ,CUENTAS POR PAGAR   ,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,01219   ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , , , , , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,0001-01-01,0001-01-01,2002-10-16,0001-01-01,  ,2016-04-27 11:31:57.470078,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
1,,SOCIEDAD MEXICANA DE ARRENDAMIENTO PURO ,SOCIEDAD MEXICANA DE,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,01219   ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,B,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-02-26,0001-01-01,2002-02-26,0001-01-01,  ,2016-04-27 11:31:57.472036,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
1,8869,CONS. REGION SOCIEDAD MEXICANA DE ARREND,CONS. REGION SOCIEDA,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,01219   ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,B,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-02-26,0001-01-01,2002-02-26,0001-01-01,  ,2016-04-27 11:31:57.473011,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
1,8870,CONS. ZONA SOCIEDAD MEXICANA DE ARRENDAM,CONS. ZONA SOCIEDAD ,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,01219   ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,B,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-02-26,0001-01-01,2002-02-26,0001-01-01,  ,2016-04-27 11:31:57.474532,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
1,8871,SOCIEDAD MEXICANA DE ARRENDAMIENTO PURO ,CONS. ZONA SOCIEDAD ,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,01219   ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,B,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-02-26,0001-01-01,2002-02-26,0001-01-01,  ,2016-04-27 11:31:58.9349,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
2,5121,CUENTAS POR PAGAR                       ,CUENTAS POR PAGAR   ,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,01219   ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , , , , , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,0001-01-01,0001-01-01,2002-10-17,0001-01-01,  ,2016-04-27 11:31:58.995812,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
2,8868,PROMOCIONES Y DESARROLLO BANSA          ,PROMOCIONES Y DESA  ,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,        ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,E,M, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-01-10,0001-01-01,2002-01-10,0001-01-01,  ,2016-04-27 11:31:59.008159,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
250,8869,CONS REGION PROMOCIONES Y DESARROLLO BAN,CONS REGION PROMOCIO,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,        ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,E,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-01-10,0001-01-01,2002-01-10,0001-01-01,  ,2016-04-27 11:31:59.010056,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
2,8870,CONS ZONA PROMOCIONES Y DESARROLLO BAN  ,CONS ZONA PROMOCIONE,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,        ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,E,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2002-01-10,0001-01-01,2002-01-10,0001-01-01,  ,2016-04-27 11:31:59.012455,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
2,8871,PROMOCIONES Y DESARROLLO BAN            ,PROMOCIONES Y DESARR,PROL PASEO DE LA REFORMA NO. 500 LOMAS D,        ,052,DF01002,E,0,0,0,0,00DF,0,0, , , , ,E,O, , , ,N, , , , , , , ,    ,             ,        ,        ,        ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          ,0,          ,          ,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,,0001-01-01,2000-01-10,0001-01-01,2002-01-10,0001-01-01,  ,2016-04-27 11:31:59.014557,1,1,BTCH,CTMDES  ,     ,2016-12-31,1485806101,,
